"id","pergunta","resposta","createdAt","updatedAt"
"153","Qual a cantora gospel que adora quando molhamos as terras?","Aline Barros.","2017-09-02","2017-09-02"
"154","O que acontece quando uma cobra deve para outra cobra?","A cobra cobra a cobra.","2017-09-02","2017-09-02"
"155","O que o menino fez pra não ir no oculista?","Se mudou para Boa Vista.","2017-09-02","2017-09-02"
"156","Como o homem entrou na loja sem enxergar e saiu vendo?","Ele pagou à vista.","2017-09-02","2017-09-02"
"157","Qual é a semente preferida das moscas?","Noz-moscada.","2017-09-02","2017-09-02"
"158","O que a foca mais gosta de fazer?","Fo-Foca.","2017-09-02","2017-09-02"
"159","Por que o vidente quis ir pra Alemanha?","Porque ele aprendeu a-lê-mão.","2017-09-02","2017-09-02"
"160","Qual o tipo de internet que o mineiro usa?","Uai-Fi.","2017-09-02","2017-09-02"
"161","O que o Exterminador do Futuro falou com o homem que conserta computadores?","Instala Vista, baby.","2017-09-02","2017-09-02"
"162","O que o sapo falou com o Bob Marley?","Reeague Reaague.","2017-09-02","2017-09-02"
"163","Qual o animal que não fica sem dinheiro?","O mico, pois tem sempre alguém pagando um mico.","2017-09-02","2017-09-02"
"164","Fui em uma festa e não encontrei refrigerante. Qual o nome do filme?","Procurando Dolly.","2017-09-02","2017-09-02"
"165","O que uma televisão com olhos faz?","Ela TV.","2017-09-02","2017-09-02"
"166","O que é tem pernas mas não anda?","A calça.","2017-09-02","2017-09-02"
"167","Todos foram ao médico tomar soro. O que acontece na hora do Fernando?","O Soro-caba.","2017-09-02","2017-09-02"
"168","Como o Batman dorme?","De Bruce.","2017-09-02","2017-09-02"
"169","O que são sete irmãs, cinco tem sobrenome e duas não?","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado e Domingo.","2017-09-02","2017-09-02"
"170","Um homem encontrou uma vaca morta de fome e de sede. O que ele deu pra ela, água ou comida?","Nada, pois ela estava morta.","2017-09-02","2017-09-02"
"171","Qual ator está a venda nos postos de combustível?","Vin Diesel.","2017-09-02","2017-09-02"
"172","Qual é o jogador de futebol que dá premiações para os filmes?","O Oscar.","2017-09-02","2017-09-02"
"173","Por que o menino colocou a água no pote?","Pra deixar a água potável.","2017-09-02","2017-09-02"
"174","Quais são os membros da família que gostam de falar e cantar?","Avós.","2017-09-02","2017-09-02"
"175","O que não pode faltar no meio da festa?","A letra s.","2017-09-02","2017-09-02"
"176","O que tem 39 irmãos e morre queimado?","Palito de fósforo.","2017-09-02","2017-09-02"
"177","Qual é o país preferido do padeiro?","O Ja-Pão.","2017-09-02","2017-09-02"
"178","Qual o sentido que odeia relógios?","Sentido anti-horário.","2017-09-02","2017-09-02"
"179","Qual é o país que tem mais comida no natal?","O Peru.","2017-09-02","2017-09-02"
"180","Qual é o jogador de futebol que adora abrir portas?","Xavi.","2017-09-02","2017-09-02"
"181","Qual caneta que tem avós?","A ca-netinha.","2017-09-02","2017-09-02"
"182","O que o Batman faz quando está com a câmera na mão?","Bat-foto.","2017-09-02","2017-09-02"
"183","Onde o doente não pode ficar?","No eleva-dor.","2017-09-02","2017-09-02"
"184","Por que no dia dos namorados o comércio vende mais que no dia das mães?","Porque mãe a gente tem uma só.","2017-09-02","2017-09-02"
"185","Na frase ""João foi mal em todas as provas"", onde está o sujeito?","Na internet, com certeza.","2017-09-02","2017-09-02"
"186","O que é o que é voa sem ter asas e chora sem ter olhos?","A nuvem.","2017-09-02","2017-09-02"
"187","Onde fica o centro da gravidade?","Na letra i.","2017-09-02","2017-09-02"
"188","Em qual parte do corpo o Max mora?","No Max-lar.","2017-09-02","2017-09-02"
"189","Quando é que um vampiro sobe na vida?","Quando ele morde o pescoço de uma girafa.","2017-09-02","2017-09-02"
"190","Qual jogador de futebol que o Batman mais gosta?","O Robben.","2017-09-02","2017-09-02"
"191","O que é que nós não vemos, mas incomoda a vista?","Um cisco.","2017-09-02","2017-09-02"
"192","Qual a cidade que mais tem protesto dos taxistas?","Uberlândia.","2017-09-02","2017-09-02"
"193","Qual é a parte mais rápida da casa?","O corredor.","2017-09-02","2017-09-02"
"194","Quem chega na frente na corrida: o policial, o mecânico ou o atleta?","O policial, pois segurança em primeiro lugar.","2017-09-02","2017-09-02"
"195","Como os canibais chamam os atletas?","Fast-food.","2017-09-02","2017-09-02"
"196","O que quando está trabalhando tem o chapéu na cabeça, mas quando está descansando tem o chapéu no pé?","Caneta.","2017-09-02","2017-09-02"
"197","Por que uma pessoa não estava conseguindo ligar pra fábrica de bolos?","Porque estava sem cobertura.","2017-09-02","2017-09-02"
"198","O que tem uma perna longa e a outra perna curta, mas anda sem parar o dia todo?","O relógio.","2017-09-02","2017-09-02"
"199","O que o sapato falou pro outro sapato?","Você é muito engraxadinho!","2017-09-02","2017-09-02"
"200","O que a manteiga falou para o pão francês quentinho?","Com você me derreto todinha!","2017-09-02","2017-09-02"
"201","O que o boi apaixonado disse pra vaca?","Te a-múuuuuuuuuuu...","2017-09-02","2017-09-02"
"202","O que é fácil de ser levantado do chão, mas difícil de jogar longe?","Pena.","2017-09-02","2017-09-02"
"203","Qual operadora de celular vive gripada?","A Tiiiiiiiiiimmmmmmmm.","2017-09-02","2017-09-02"
"204","O que o 4 disse pro 40?","Passa a bola.","2017-09-02","2017-09-02"
"205","Qual é a internet maia utilizada pelos ursos?","Panda-larga.","2017-09-02","2017-09-02"
"206","Qual o tempo verbal da frase ""isso não podia ter acontecido""?","Preservativo imperfeito.","2017-09-02","2017-09-02"
"207","O que deixa nossa dor bem fresquinha?","O ventilaDOR.","2017-09-02","2017-09-02"
"208","Por que Joãozinho não fez a lição de casa?","Porque ele mora em apartamento.","2017-09-02","2017-09-02"
"209","O que tem barriga de pau, costas de ferro, entra na mata e dá um berro?","Espingarda.","2017-09-02","2017-09-02"
"210","O que a formiga falou para a barata?","O seu marido é maior barato.","2017-09-02","2017-09-02"
"211","Nas Olimpíadas dos bichos na selva qual o prêmio que os macacos almejam?","A banana ouro e a banana prata.","2017-09-02","2017-09-02"
"212","Em que lugar só se vê pessoas com mais de 18 anos?","ViAdulto.","2017-09-02","2017-09-02"
"213","Por que o pão de ontem não dá nada para ninguém?","Porque ele é um pão duro.","2017-09-02","2017-09-02"
"214","O que o pintinho chamado Relam fazia durante a chuva?","Relam piava.","2017-09-02","2017-09-02"
"215","O que é a máquina que tem o poder de parar o tempo?","A máquina fotográfica.","2017-09-02","2017-09-02"
"216","O que o Cebolinha faz quando dorme?","Lonca.","2017-09-02","2017-09-02"
"217","Quanto menos luz mais eu apareço. Quem eu sou?","Escuridão.","2017-09-02","2017-09-02"
"218","O que é rasa como um prato, redonda como uma bola, nem todos os rios do mundo poderiam enchê-la de fato?","Peneira.","2017-09-02","2017-09-02"
"219","Que carro o Pikachu pediu quando foi na concessionária?","Pikapi.","2017-09-02","2017-09-02"
"220","Onde o Thor trabalha?","No escriTHORio.","2017-09-02","2017-09-02"
"221","O que tem 4 letras, mas tirando duas se forma o 11?","TáXI.","2017-09-02","2017-09-02"
"222","O que matamos todos os dias mas não somos presos?","Fome.","2017-09-02","2017-09-02"
"223","Como o pneu mata uma pessoa?","De pneumonia.","2017-09-02","2017-09-02"
"224","Qual a primeira palavra dita pelo filhinho do lenhador?","Mamadeeeeiraa!","2017-09-02","2017-09-02"
"225","O que o Thor mais gosta de comer?","THORta.","2017-09-02","2017-09-02"
"226","Qual é o café da manha preferido do Thor?","Café com THORrada.","2017-09-02","2017-09-02"
"227","Qual é o lugar em Paris que o Thor mais gosta de visitar?","A THORre Eiffel.","2017-09-02","2017-09-02"
"228","Qual é o chá assassino?","O chá-mate.","2017-09-02","2017-09-02"
"229","Eu vou em uma casa nessa casa tem 4 quantos cada quanto tem 1 gato cada gato vê 3 gatos. Quantos gatos tem nessa casa?","4 gatos.","2017-09-02","2017-09-02"
"230","O que o peixe tem por dentro e o ser humano tem por fora?","Espinha.","2017-09-02","2017-09-02"
"231","Como a cobra salva uma pessoa em uma enchente?","Dando o bote.","2017-09-02","2017-09-02"
"232","Tem no quarto com duas sílabas, o rei dos animais com duas sílabas, animal que muda de cor?","Cama-leão.","2017-09-02","2017-09-02"
"233","O que rico tem, o pobre tem, mas o Silvio Santos não tem?","O ""r"".","2017-09-02","2017-09-02"
"234","O que o 0 disse para o 8?","Cinto maneiro.","2017-09-02","2017-09-02"
"235","Qual é o super herói preferido dos gordinhos?","O Super Mercado.","2017-09-02","2017-09-02"
"236","Como se diz costureiro em japonês?","Kaguya nopano.","2017-09-02","2017-09-02"
"237","Como se diz proctologista em japonês?","Kotuka oku dokara.","2017-09-02","2017-09-02"
"238","Qual é o rio mais azedo do mundo?","Rio Só-limões.","2017-09-02","2017-09-02"
"239","Qual é a cidade onde tudo é azul?","Blue-menau.","2017-09-02","2017-09-02"
"240","Qual rio que adora bagunça?","Rio Ama-zona.","2017-09-02","2017-09-02"
"241","O que aconteceu quando o Thor dormiu de mau jeito?","Ele ficou com Thorcicolo.","2017-09-02","2017-09-02"
"242","Qual é o salgadinho preferido do Thor?","Thorcida.","2017-09-02","2017-09-02"
"243","O que tem pescoço mas não tem cabeça?","A garrafa.","2017-09-02","2017-09-02"
"244","O que tem dente mas não morde?","O pente.","2017-09-02","2017-09-02"
"245","O que se quebra sem nem mesmo tocar?","Promessa.","2017-09-02","2017-09-02"
"246","O que o Batman mais sente no coração?","Os BATmentos.","2017-09-02","2017-09-02"
"247","O que de noite tem cabeça e de dia perde?","O travesseiro.","2017-09-02","2017-09-02"
"248","Qual é o rei da hora?","O rei-lógio.","2017-09-02","2017-09-02"
"249","O que o Michael Phelps faz pra ganhar tantas medalhas?","Nada.","2017-09-02","2017-09-02"
"250","Alguém deu um tapa em dois leopardos. Qual é o nome do filme?","Velozes e Furiosos.","2017-09-02","2017-09-02"
"251","Antes de seu encontro o rapaz comeu dois ovos, repolho e couve flor. Qual é o nome do filme?","Encontro Explosivo.","2017-09-02","2017-09-02"
"252","Você pilota um avião passa por cima de três nuvens e sete montanhas qual é a idade do piloto?","A sua idade.","2017-09-02","2017-09-02"
"253","O que o aposentado tem entre as pernas?","Outro aposentado.","2017-09-02","2017-09-02"
"254","Por que o cego não dá opinião?","Porque ele não tem ponto de vista.","2017-09-02","2017-09-02"
"255","Qual o suco preferido dos primatas?","OrangoTANG.","2017-09-02","2017-09-02"
"256","O rapaz terminou com a garota e depois voltou com ela, qual é o nome do filme?","O Ex-terminador.","2017-09-02","2017-09-02"
"257","O carro do anão estragou durante o percurso. Por que ele não foi na mecânica?","Porque lá é mecânica de autos.","2017-09-02","2017-09-02"
"258","Eu te vi onde jamais esteve e onde jamais estará, e mesmo assim, você neste mesmo lugar será visto por mim. O que é?","Espelho.","2017-09-02","2017-09-02"
"259","Por que o Thor vai ao estádio?","Porque ele faz parte da Thorcida﻿.","2017-09-02","2017-09-02"
"260","Somos três irmãos diferentes, nenhum de nós bebe ou come, no entanto é nossa missão dar de comer a quem tem fome. O que somos?","Colher, garfo e faca.","2017-09-02","2017-09-02"
"261","Como se diz dengue em japonês?","Muskito Kimata.","2017-09-02","2017-09-02"
"262","Como o jogador de futebol ficou depois de tomar uma bolada?","Ele ficou bolado.","2017-09-02","2017-09-02"
"263","Qual palavra tirou o dente da letra D?","Descendente.","2017-09-02","2017-09-02"
"264","O que só anda com as pernas nas orelhas?","Óculos.","2017-09-02","2017-09-02"
"265","O que só pode ser usado quebrado?","Ovo.","2017-09-02","2017-09-02"
"266","Meu amigo não come carne por que ele é?","Contrafilé.","2017-09-02","2017-09-02"
"267","Qual é o tipo de carne que os bebês usam?","Fraldinha.","2017-09-02","2017-09-02"
"268","Qual é a carne que o bebê mais gosta de comer?","A maminha.","2017-09-02","2017-09-02"
"269","Quem é tão forte mas tão forte, que pode parar um automóvel com apenas uma mão?","Guarda de trânsito.","2017-09-02","2017-09-02"
"270","Qual o filme animado favorito do Thor?","Thor Story.","2017-09-02","2017-09-02"
"271","O que o Batman foi fazer na igreja?","Se Bat-zar.","2017-09-02","2017-09-02"
"272","O que nunca pede nada mas tem sempre alguém correndo para atendê-la?","A campainha.","2017-09-02","2017-09-02"
"273","Começou um incêndio nos pés de manga, por que os bombeiros não o apagaram?","Porque o fogo destruiu as mangueiras.","2017-09-02","2017-09-02"
"274","O que é algo e ao mesmo tempo nada?","Peixe.","2017-09-02","2017-09-02"
"275","Qual letra vem depois da letra A?","Todas as outras.","2017-09-02","2017-09-02"
"276","O que a gravata disse para o chapéu?","Vai na cabeça que eu pego o pescoço.","2017-09-02","2017-09-02"
"277","Zé tinha 20 vacas, mas fugiram dezessete. Quantas restaram?","13, pois fugiram de-Zé-sete.","2017-09-02","2017-09-02"
"278","Qual a parte mais artística do corpo humano?","O pulmão, porque ele é cheio de inspiração.","2017-09-02","2017-09-02"
"279","Qual a coisa mais frágil do mundo?","O silêncio, pois ele se quebra só de pronunciar o nome.","2017-09-02","2017-09-02"
"280","Qual é o pão mais famoso?","Bread Pitt.","2017-09-02","2017-09-02"
"281","O que o palito disse para a caixa de fósforo?","Por você eu perco a cabeça.","2017-09-02","2017-09-02"
"282","Qual a atriz famosa que torna animais selvagens em dóceis?","Grazi Amansa Fera.","2017-09-02","2017-09-02"
