;charada
74;Qual o aeroporto favorito do bêbado? Viracopos.
75;Qual a metade de nove? No.
76;O que a célula disse para o cabeleireiro? Mitose.
77;Por que a mata é virgem? Porque o vento é fresco.
78;Qual a capital mais admirada do mundo? Caraaaaacas!
79;Qual automóvel está sempre ligado? O on-ibus.
80;O que quanto mais cresce mais fica perto do chão? Cabelo.
81;O que é duro em cima e mole embaixo? Vassoura.
82;Por que a gata não quer beber Red Bull? Porque ela prefere Gatorade.
83;O que é por dentro branco e por fora amarelo? Banana.
84;Como se chamava o Renato Russo antes de 1991? Renato Soviético.
85;Qual é a capital mais assustadora do mundo? Bruxelas.
86;Como os sapos modernos se comunicam? Web, web, web...
87;O que a galinha faz quando está com febre? Bota ovo cozido.
88;Qual a fruta preferida dos anões? Banana nanica.
89;O ursinho levou um tombo e caiu. Qual é o nome do desenho? O Ursinho Puuuuuuf.
90;O que o lápis disse para o apontador? Estou desapontado.
91;Qual é o ar mais inteligente? Ar-con-dicionário.
92;O que o leite de caixinha disse pro leite de saquinho? Vem pra Caixa você também!
93;Qual é o dinossauro mais cheiroso do mundo? O Tiranossauro Rex-ona.
94;"O rato roeu a roupa do rei de Roma. Quantas letras R têm isso? A palavra ""isso"" não tem a letra R."
95;O que o cachorro saudável faz? Ele light.
96;Qual o urso que mais salta? O urso pular.
97;Qual é a metade de Oito? Oi.
98;Sem dedos eu aponto, sem braços eu golpeio, sem pés eu corro. O que sou? Relógio.
99;Qual é a evolução grudenta do James Bond? Super Bonder.
100;Qual é o ator que mais usa o telefone? Edson Celulari.
101;O que o verão disse pro outro? Eu verei e eles verão.
102;O que uma abelha com sono disse pra outra? Zzzzzzzzzzzz!
103;Por que não torço para o Botafogo? Tenho medo de me queimar.
104;Por que o motorista do Neymar foi preso? Porque ele estava transportando um crack.
105;Quem escuta tudo mas não fala pra ninguém? As orelhas.
106;Por que o círculo sempre está quente? Porque ele tem 360 graus.
107;Qual cor é elétrica? Rosa choque.
108;Qual é o filme em que um pai dá 5 reais ao filho e manda ele devolver 2? Mandagastar 3.
109;Qual o ator que leva a religião muito a sério? Tom Cruz.
110;Qual é a diferença da mandioca para a cadeira? Se você não sabe, então cuidado onde senta.
111;Por que planta pequena não fala? Porque ela é muda!
112;Qual o lugar mais velho do Brasil? Porto Velho.
113;O que tem a cabeça cheia de dentes e os vampiros temem muito? Alho.
114;O que o Saci disse pro outro depois da janta? Estou Saci-ado.
115;Qual é a cidade mais limpa? Vassouras.
116;Qual é a pessoa que descobre as dores dos doentes? O caça-dor.
117;Qual cidade tem quatro partes? FOURtaleza.
118;O que trabalha apanhando? Prego.
119;Qual é o nome do médico que está sempre desligado? Off-talmologista.
120;Qual o ator que não assume o que faz? Arnold Faz-e-nega.
121;Qual luz vem da ovelha? Lã-terna.
122;Qual o rio mais azedo? Rio Só-limões.
123;Qual lugar mais certo do Brasil? Sertão.
124;Sou velho e sou domado, estava lá no teu primeiro suspiro. Você não pediu, mas sigo você até a morte. Quem sou eu? Seu nome.
125;Qual o filme animado favorito do Thor? Thor Story.
126;Por que a formiga só tem 4 amigas? Porque se fossem 5, seriam fivemigas.
127;Qual a operadora que nunca morre? Vivo.
128;Qual a semelhança entre o namoro à distância e a orelha de um boi? Os dois estão perto do chifre e longe do rabo.
129;Qual é a cidade preferida das moscas? Moscou.
130;Qual é o eletrodoméstico do Thor? A THORradeira.
131;Qual é a brincadeira predileta dos tímidos? Esconde-esconde.
132;Qual a máquina agrícola preferida do Thor? O traThor.
133;Qual é a profissão do Thor? PinThor.
134;Que energia só tem em casa? Energia soLAR.
135;Por que a galinha subiu na árvore? Porque ela queria botar pra quebrar.
136;Por mais bonito que eu seja, quem me vê não me deseja, quem sou eu? Caixão.
137;Hoje em dia o que se deve fazer para a visita ir embora? Deligar o Wi-Fi.
138;Qual o apelido do para-raio? Sequestro relâmpago.
139;Um açougueiro mede 1,80, calça 40 e pesa? A carne.
140;Qual a cidade preferida do Papai Noel? Natal.
141;Qual avião podemos comer? 14-bis.
142;Qual carro balança a rede? Gol.
143;Qual carro serve pra jogar? Uno.
144;Qual a cidade mais venenosa do Brasil? Cascavel.
145;Onde é que quem entra, não vê e quem vê, não entra? Túmulo.
146;O que o Goku foi fazer na Riachuelo? Comprar saia-jeans.
147;O menino foi jogar tênis. Como ele voltou? Descalço.
148;Que tipo de barba tem um tubarão. Barba-tana.
149;O que é o que é, até a pessoa mais fraca do mundo levanta do chão, mas nem a mais forte consegue atirar longe? Papel de bala.
150;Por que o Perna Longa não mente? Porque a mentira tem perna curta.
151;Qual fita diz o nome de uma operadora? Fita de ceTIM.
152;Qual a cantora gospel que adora quando molhamos as terras? Aline Barros.
153;O que acontece quando uma cobra deve para outra cobra? A cobra cobra a cobra.
154;O que o menino fez pra não ir no oculista? Se mudou para Boa Vista.
155;Como o homem entrou na loja sem enxergar e saiu vendo? Ele pagou à vista.
156;Qual é a semente preferida das moscas? Noz-moscada.
157;O que a foca mais gosta de fazer? Fo-Foca.
158;Por que o vidente quis ir pra Alemanha? Porque ele aprendeu a-lê-mão.
159;Qual o tipo de internet que o mineiro usa? Uai-Fi.
160;O que o Exterminador do Futuro falou com o homem que conserta computadores? Instala Vista, baby.
161;O que o sapo falou com o Bob Marley? Reeague Reaague.
162;Qual o animal que não fica sem dinheiro? O mico, pois tem sempre alguém pagando um mico.
163;Fui em uma festa e não encontrei refrigerante. Qual o nome do filme? Procurando Dolly.
164;O que uma televisão com olhos faz? Ela TV.
165;O que é tem pernas mas não anda? A calça.
166;Todos foram ao médico tomar soro. O que acontece na hora do Fernando? O Soro-caba.
167;Como o Batman dorme? De Bruce.
168;O que são sete irmãs, cinco tem sobrenome e duas não? Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado e Domingo.
169;Um homem encontrou uma vaca morta de fome e de sede. O que ele deu pra ela, água ou comida? Nada, pois ela estava morta.
170;Qual ator está a venda nos postos de combustível? Vin Diesel.
171;Qual é o jogador de futebol que dá premiações para os filmes? O Oscar.
172;Por que o menino colocou a água no pote? Pra deixar a água potável.
173;Quais são os membros da família que gostam de falar e cantar? Avós.
174;O que não pode faltar no meio da festa? A letra s.
175;O que tem 39 irmãos e morre queimado? Palito de fósforo.
176;Qual é o país preferido do padeiro? O Ja-Pão.
177;Qual o sentido que odeia relógios? Sentido anti-horário.
178;Qual é o país que tem mais comida no natal? O Peru.
179;Qual é o jogador de futebol que adora abrir portas? Xavi.
180;Qual caneta que tem avós? A ca-netinha.
181;O que o Batman faz quando está com a câmera na mão? Bat-foto.
182;Onde o doente não pode ficar? No eleva-dor.
183;Por que no dia dos namorados o comércio vende mais que no dia das mães? Porque mãe a gente tem uma só.
184;"Na frase ""João foi mal em todas as provas"", onde está o sujeito? Na internet, com certeza."
185;O que é o que é voa sem ter asas e chora sem ter olhos? A nuvem.
186;Onde fica o centro da gravidade? Na letra i.
187;Em qual parte do corpo o Max mora? No Max-lar.
188;Quando é que um vampiro sobe na vida? Quando ele morde o pescoço de uma girafa.
189;Qual jogador de futebol que o Batman mais gosta? O Robben.
190;O que é que nós não vemos, mas incomoda a vista? Um cisco.
191;Qual a cidade que mais tem protesto dos taxistas? Uberlândia.
192;Qual é a parte mais rápida da casa? O corredor.
193;Quem chega na frente na corrida: o policial, o mecânico ou o atleta? O policial, pois segurança em primeiro lugar.
194;Como os canibais chamam os atletas? Fast-food.
195;O que quando está trabalhando tem o chapéu na cabeça, mas quando está descansando tem o chapéu no pé? Caneta.
196;Por que uma pessoa não estava conseguindo ligar pra fábrica de bolos? Porque estava sem cobertura.
197;O que tem uma perna longa e a outra perna curta, mas anda sem parar o dia todo? O relógio.
198;O que o sapato falou pro outro sapato? Você é muito engraxadinho!
199;O que a manteiga falou para o pão francês quentinho? Com você me derreto todinha!
200;O que o boi apaixonado disse pra vaca? Te a-múuuuuuuuuuu...
201;O que é fácil de ser levantado do chão, mas difícil de jogar longe? Pena.
202;Qual operadora de celular vive gripada? A Tiiiiiiiiiimmmmmmmm.
203;O que o 4 disse pro 40? Passa a bola.
204;Qual é a internet maia utilizada pelos ursos? Panda-larga.
205;"Qual o tempo verbal da frase ""isso não podia ter acontecido""? Preservativo imperfeito."
206;O que deixa nossa dor bem fresquinha? O ventilaDOR.
207;Por que Joãozinho não fez a lição de casa? Porque ele mora em apartamento.
208;O que tem barriga de pau, costas de ferro, entra na mata e dá um berro? Espingarda.
209;O que a formiga falou para a barata? O seu marido é maior barato.
210;Nas Olimpíadas dos bichos na selva qual o prêmio que os macacos almejam? A banana ouro e a banana prata.
211;Em que lugar só se vê pessoas com mais de 18 anos? ViAdulto.
212;Por que o pão de ontem não dá nada para ninguém? Porque ele é um pão duro.
213;O que o pintinho chamado Relam fazia durante a chuva? Relam piava.
214;O que é a máquina que tem o poder de parar o tempo? A máquina fotográfica.
215;O que o Cebolinha faz quando dorme? Lonca.
216;Quanto menos luz mais eu apareço. Quem eu sou? Escuridão.
217;O que é rasa como um prato, redonda como uma bola, nem todos os rios do mundo poderiam enchê-la de fato? Peneira.
218;Que carro o Pikachu pediu quando foi na concessionária? Pikapi.
219;Onde o Thor trabalha? No escriTHORio.
220;O que tem 4 letras, mas tirando duas se forma o 11? TáXI.
221;O que matamos todos os dias mas não somos presos? Fome.
222;Como o pneu mata uma pessoa? De pneumonia.
223;Qual a primeira palavra dita pelo filhinho do lenhador? Mamadeeeeiraa!
224;O que o Thor mais gosta de comer? THORta.
225;Qual é o café da manha preferido do Thor? Café com THORrada.
226;Qual é o lugar em Paris que o Thor mais gosta de visitar? A THORre Eiffel.
227;Qual é o chá assassino? O chá-mate.
228;Eu vou em uma casa nessa casa tem 4 quantos cada quanto tem 1 gato cada gato vê 3 gatos. Quantos gatos tem nessa casa? 4 gatos.
229;O que o peixe tem por dentro e o ser humano tem por fora? Espinha.
230;Como a cobra salva uma pessoa em uma enchente? Dando o bote.
231;Tem no quarto com duas sílabas, o rei dos animais com duas sílabas, animal que muda de cor? Cama-leão.
232;"O que rico tem, o pobre tem, mas o Silvio Santos não tem? O ""r""."
233;O que o 0 disse para o 8? Cinto maneiro.
234;Qual é o super herói preferido dos gordinhos? O Super Mercado.
235;Como se diz costureiro em japonês? Kaguya nopano.
236;Como se diz proctologista em japonês? Kotuka oku dokara.
237;Qual é o rio mais azedo do mundo? Rio Só-limões.
238;Qual é a cidade onde tudo é azul? Blue-menau.
239;Qual rio que adora bagunça? Rio Ama-zona.
240;O que aconteceu quando o Thor dormiu de mau jeito? Ele ficou com Thorcicolo.
241;Qual é o salgadinho preferido do Thor? Thorcida.
242;O que tem pescoço mas não tem cabeça? A garrafa.
243;O que tem dente mas não morde? O pente.
244;O que se quebra sem nem mesmo tocar? Promessa.
245;O que o Batman mais sente no coração? Os BATmentos.
246;O que de noite tem cabeça e de dia perde? O travesseiro.
247;Qual é o rei da hora? O rei-lógio.
248;O que o Michael Phelps faz pra ganhar tantas medalhas? Nada.
249;Alguém deu um tapa em dois leopardos. Qual é o nome do filme? Velozes e Furiosos.
250;Antes de seu encontro o rapaz comeu dois ovos, repolho e couve flor. Qual é o nome do filme? Encontro Explosivo.
251;Você pilota um avião passa por cima de três nuvens e sete montanhas qual é a idade do piloto? A sua idade.
252;O que o aposentado tem entre as pernas? Outro aposentado.
253;Por que o cego não dá opinião? Porque ele não tem ponto de vista.
254;Qual o suco preferido dos primatas? OrangoTANG.
255;O rapaz terminou com a garota e depois voltou com ela, qual é o nome do filme? O Ex-terminador.
256;O carro do anão estragou durante o percurso. Por que ele não foi na mecânica? Porque lá é mecânica de autos.
257;Eu te vi onde jamais esteve e onde jamais estará, e mesmo assim, você neste mesmo lugar será visto por mim. O que é? Espelho.
258;Por que o Thor vai ao estádio? Porque ele faz parte da Thorcida﻿.
259;Somos três irmãos diferentes, nenhum de nós bebe ou come, no entanto é nossa missão dar de comer a quem tem fome. O que somos? Colher, garfo e faca.
260;Como se diz dengue em japonês? Muskito Kimata.
261;Como o jogador de futebol ficou depois de tomar uma bolada? Ele ficou bolado.
262;Qual palavra tirou o dente da letra D? Descendente.
263;O que só anda com as pernas nas orelhas? Óculos.
264;O que só pode ser usado quebrado? Ovo.
265;Meu amigo não come carne por que ele é? Contrafilé.
266;Qual é o tipo de carne que os bebês usam? Fraldinha.
267;Qual é a carne que o bebê mais gosta de comer? A maminha.
268;Quem é tão forte mas tão forte, que pode parar um automóvel com apenas uma mão? Guarda de trânsito.
269;Qual o filme animado favorito do Thor? Thor Story.
270;O que o Batman foi fazer na igreja? Se Bat-zar.
271;O que nunca pede nada mas tem sempre alguém correndo para atendê-la? A campainha.
272;Começou um incêndio nos pés de manga, por que os bombeiros não o apagaram? Porque o fogo destruiu as mangueiras.
273;O que é algo e ao mesmo tempo nada? Peixe.
274;Qual letra vem depois da letra A? Todas as outras.
275;O que a gravata disse para o chapéu? Vai na cabeça que eu pego o pescoço.
276;Zé tinha 20 vacas, mas fugiram dezessete. Quantas restaram? 13, pois fugiram de-Zé-sete.
277;Qual a parte mais artística do corpo humano? O pulmão, porque ele é cheio de inspiração.
278;Qual a coisa mais frágil do mundo? O silêncio, pois ele se quebra só de pronunciar o nome.
279;Qual é o pão mais famoso? Bread Pitt.
280;O que o palito disse para a caixa de fósforo? Por você eu perco a cabeça.
281;Qual a atriz famosa que torna animais selvagens em dóceis? Grazi Amansa Fera.
282;O que uma pá diz para a outra? Quero mas paz no mundo.
283;Qual a diferença entre clima e tempo? Clima é o que está rolando entre a gente, e tempo é o que a gente está perdendo.
284;Sei pular, mas só uma vez isso farei, quando voltar a cair outra forma terei. O que sou? Pipoca.
285;Do que morreu o paraquedista? De timidez, porque ele fez de tudo, mas o paraquedas não quis se abrir com ele.
286;Por que o menino sempre deixa o seu óculos na escada? Porque é óculos de-grau.
287;O que fizeram no tatu? Uma tatu-agem.
288;Qual é o melhor chocolate? Bom-bom.
289;Qual o lugar mais quente de uma sala? O canto, porque ele tem 90 graus.
290;O que o esqueleto foi fazer no cabeleireiro? Fazer as costeletas.
291;A qual profissional se deve pedir ajuda para resolver um problema? A um químico, poque ele é quem mais conhece soluções.
292;Gêmeos pequenos e agitados, vizinhos próximos mas separados, que raramente estão desencontrados. O que são? Os olhos.
293;Não tem pé, roda, asa, ventre ou nadadeira, mas mesmo sem ser carregada pode dar ao mundo uma volta inteira? Notícia.
294;O que o tomate perguntou para a cebola? Por que todos choram por você e por mim não?
295;Qual o mês mais novo? Fevereiro, pois ele só tem 28 dias.
296;Qual número vai na academia? O fourteen.
297;Como ficou o cachorro do Mickey quando ele caiu no buraco? Ele ficou Pluto.
298;Como se faz omelete de chocolate? Com ovos de páscoa.
299;Em uma corrida de frutas a maçã está ganhando. O que acontece se ela diminuir a velocidade? A uva passa.
300;Qual o cachorro que nós todos temos? O Um-beagle.
301;Qual presidente que ama tirar fotos? A Dilma Rous-selfie.
302;O homem foi para a guerra e perdeu os dois pés. Qual nome do filme? Os Pés-tinha.
303;O que acontece se a formiga dormir de mau jeito? Ela fica com um formigamento.
304;O que é um pontinho branco na grama? Uma formiga vestida de noiva.
305;O que acontece se o Goku se fundir com o Cheetos? Ele vira um Super Salgadim.
306;Por que tem uma cama elástica no navio? Para os tri-pulantes.
307;Qual é o carro que saiu do forno? O Kia Soul.
308;Quem é mais forte, a tartaruga ou o elefante? A tartaruga, pois ela carrega até a própria casa.
309;O que nada mas não é peixe, é tem pena mas não voa? Pinguim.
310;Qual a profissão que tem mais fãs? O dentista, pois ele deixa todos de boca aberta.
311;O que o padre disse na missa quando o cálice caiu das suas mãos várias vezes? Cálice, cálice, cálice! Você me deixa louco!
312;O que um boné falou pro outro boné? Bom né...
313;O que um gato faz na academia? Abdomiau.
314;Por que o coração fica do lado esquerdo do peito? Porque ele não faz nada direito.
315;Um caminhão passou e uma penca de banana caiu, 2 viram, 5 pegaram e 32 comeram. O que são eles? Os 2 olhos viram, 5 dedos pegaram e 32 dentes comeram.
316;De qual doença morreu o borracheiro? Pneu-monia.
317;Qual é o cantor que não é meu? O Seu Jorge.
318;O Fandangos estava se afogando. Quem foi ajudar ele? Ruffles, a batata da onda.
319;Quantos meses têm 28 dias? Todos.
320;Qual o país que distribui cana-de-açúcar? Cana-dá.
321;O que tem dentes mas não come, tem barba mas não é homem? Alho.
322;Se meia careca tem 84.592 fios de cabelo, uma careca inteira tem quantos? Nenhum.
323;Qual herói encerra a oração? O AquaAmém.
324;O que o Batman mais gosta de fazer na internet? Ficar no Bat-papo.
325;Qual cantor brasileiro tem o pai acima do peso? Zeca PaiGordinho.
326;Qual estado do Brasil tem mais sapos? A-lagoas.
327;Qual a partícula do átomo não sai de casa? O elétron-doméstico.
328;Qual o inseto que quer ser espião? O mari-Bond.
329;Qual o inseto que quer ser modelo? A mari-posa.
330;Qual o ator que é vazio por dentro? Francisco Cuoco.
331;Qual o artista que já fez doces? O Zeca Baleiro.
332;De onde nascem os Power Rangers? Dos EspermatoZord.
333;Quem sempra casa mas continua solteiro? O padre.
334;Um quarto tem quatro cantos, cada canto tem um gato, cada gato vê três gatos. Quantos gatos têm na sala? Nenhum, porque os gatos estão no quarto e não na sala.
335;O que tem capa mas não é herói, tem folha mas não é árvore? Caderno.
336;O que o Mickey disse quando esbarrou na panela quente? Mickeymei.
337;A ajudante da costureira trabalha abrindo as pernas. Qual o nome dela? Tesoura.
338;O que mexe para todos os lados, pode ter várias cores, mas não sai do lugar? Olhos.
339;Qual é a conta mais segura? A conta corrente.
340;O que você dá mas se soubesse não daria? Um tropeço.
341;Qual o estado em que os Minions moram? Minions Gerais.
342;Qual igreja que os palmeirenses não frequentam? Igreja Mundial.
343;Que tipo de crime o Thor geralmente é alvo? Sequestro relâmpago.
344;Qual é a bebida preferida do Batman? Bat-ida
345;Como o Batman faz para chamar o vizinho? Ele bat-palma.
346;Qual o instrumento musical preferido do Batman? A Bat-eria.
347;Qual é o doce pelado? Nú-tella.
348;Qual é o açúcar mais valioso? Açúcar Cristal.
349;Por que o computador foi preso? Porque ele executou um programa.
350;Uma criança recém-nascida coloca o ouvido nos seios da mãe. Qual é o nome do filme? Ouço os peitos.
351;"Quem canta a música ""Eu vou, eu vou, pra casa agora eu vou...""? Os seis anões, porque um anão é mudo."
352;Você está em uma sala escura e só tem um fósforo. Existe uma lareira e uma vela, o que você acenderia primeiro? O fósforo, é claro.
353;O que Deus faz, o homem desfaz e diz que está fazendo? A barba.
354;O que são gases nobres? São os peidos dos reis.
355;O que o Batman foi fazer no baile funk? Ouvir um Bat-dão.
356;Onde o boi mais sofre? Na fábrica da Friboi, porque lá Só-Friboi.
357;Como se diz dengue em japonês? Moskitu Kemata.
358;Qual é o único vestido que é proibido no avião? Tomara que caia.
359;Qual a fruta mais cara de todas? Banana ouro.
360;Qual o ritmo musical preferido dos Flintstones? Arrocha.
361;Qual é a capital que vive sorrindo? Porto Alegre.
362;Qual o nome da fruta que tem sete letras, mas tirando cinco fica onze? Abaca-XI.
363;O que o peixe faz para bater um recorde? Nada.
364;O que tem coroa mas não é rei? A rainha.
365;Qual o móvel da casa que participa da escala musical? Solfá.
366;Quando é que 2 + 2 não é igual a 4? Quando a conta está errada.
367;O que é um cantor com um livro? É o John Lennon.
368;Qual é o tipo de mensagem enviada pelo Thor? O Thorpedo.
369;O que um bom navegador faz quando o barco afunda? Nada.
370;O que serve para andar, mas não anda? A calçada.
371;Qual o nome do japonês que morreu? Okimataro.
372;Qual é a comida que não é feita para se comer? Pavê.
373;Qual é a palavra de 8 letras que tirando 2 ficam 15? Quinzena.
374;O que aconteceu quando a guerra se olhou no espelho? A guerra se viu.
375;Qual é a roupa que sempre está aberta? Ex-tampada.
376;O que é que fica dentro da gaiola, tem três asas, mas não é ave? Ventilador.
377;Onde se predomina a caatinga? No sovaco.
378;O que está na sua frente mas você não vê? O futuro.
379;O que é que o mudo ganhou de presente de Natal? Não sei, ele ainda não me contou.
380;O que os números 2,10,12,16,18 e 19, têm em comum? A letra D.
381;Qual é a comida mais brava do mundo? A pamonha, porque ela tem quer ser amarada para ir para panela.
382;Por que antes de atravessar a rua a gente primeiro olha pra um lado e depois pro outro? Porque não dá pra olhar para os dois ao mesmo tempo.
383;O que o catchup disse para a mostarda? É nois nas fritas.
384;O que é um pontinho preto no livro? Uma formiga querendo entrar pra história.
385;Qual o doce favorito do Thor? A Thortuguita.
386;Qual é o único documento que temos e não conseguimos ver? O atestado de óbito.
387;Qual é o papel favorito dos Minions? Papel alu-minion.
388;O que a árvore falou para a outra árvore? Nos deixaram aqui plantadas.
389;O que as meninas fazem após completar 18 anos? 19 anos.
390;São sete irmãos, cinco foram na feira, quais ficaram? Sábado e Domingo.
391;O que o homem tem do joelho para cima, é duro e balança? O braço.
392;O que sobe e desce sem sair do lugar? A escada.
393;"Qual é a fruta que é amiga de todos? A uva ""parça""."
394;O que um ovo falou para o outro ovo? Estou chocado.
395;O que é inteiro mas tem nome de metade? Meia.
396;O que a Wikipédia falou para o Chrome? Se correr Wikipédia, se ficar o Google Chrome.
397;Um homem estava andando pela floresta, quando avistou 3 animais, um urso maluco, um macaco raivoso e uma onça morta de fome. Por onde ele deveria passar? Pela onça, porque ela está morta.
398;Qual a capital que chama as pessoas no portão? Palmas.
399;"Por que é fácil ganhar no ""pedra, papel e tesoura"" na cracolândia? Porque lá eles sempre escolhem pedra."
400;O que o menino sem mãos recebeu no Natal? Não sei, ele ainda está tentando abrir.
401;O que tem 4 patas quando novo, 2 patas quando adulto e 3 patas quando velho? O bebê engatinhando, o adulto andando e velho com bengala.
402;Qual o instrumento que dá gritos? A gritarra.
403;Qual é a capital que sempre ganha? Vitória.
404;Qual é a capital que enxerga bem? Boa Vista.
405;Por que o Chile é um saco? Porque fica embaixo do Peru.
406;"Quando eu entro você sai, quando eu saio você entra; um é bom pra enxergar e o outro nem inventa; mas são duas almas gêmeas, um ao outro complementa; o que são? O dia e a noite."
407;Qual é a evolução do James Bond? Super Bonder.
408;Qual é o escritor que trabalha com o lenhador? Machado de Assis
409;Que é o país preferido da ovelha? A Béééélgica
410;O que é que se pega pelo corpo e fala na cabeça? Microfone.
411;Qual é o alimento do índio que encerra a oração? O AmenDoIndio.
412;Qual a hora que o relógio não marca? A hora H.
413;Onde os Minions moram? Em Condo-Minions.
414;O que tem boca mas não come, o que tem leito mas não dorme, o que tem corrente mas não é preso? O rio.
415;Por que a mãe colocou o nome do filho de matemática? Porque ele só dava problemas.
416;Por que a barata gostou do passeio? Porque foi um barato.
417;Por que o Roberto Carlos é chamado de rei? Porque no show dele só vai coroa.
418;Qual é o país que cabe dentro da geladeira? Peru.
419;O que o burro e a mula tem em comum? Ambos são filhos de uma égua.
420;O que no masculino conduz água e no feminino produz açúcar? Cano e cana.
421;Onde a quarta-feira vem antes da terça-feira? No dicionário.
422;O que tem cara mas não é homem, tem coroa mas não é rei? Moeda.
423;O que fica no meio do mato com o guarda-chuva aberto? O cogumelo.
424;Por que os biscoitos de água e sal não são feitos só de água e sal? Porque senão o mar seria um biscoitão.
